input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
raw-ACMP,DEBY_LOD2_4908170,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.972603,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908172,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,5.176471,0.892405,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908176,success,success,True,standard,False,horizontal,88.031746,0.118881,1.358349,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908178,failure,missing_lod22_geometry,True,standard,False,slanted,77.930504,0.429515,0.000000,2,False,True,[]
raw-ACMP,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.615385,0.972574,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908351,success,success,True,standard,False,slanted,96.150940,0.522523,0.348487,2,True,True,[]
raw-ACMP,DEBY_LOD2_4908352,success,success,True,standard,False,slanted,204.547012,0.000000,0.226693,3,True,True,[]
raw-ACMP,DEBY_LOD2_4908353,success,success,True,standard,False,slanted,249.612350,0.000000,0.531028,13,True,True,[]
raw-ACMP,DEBY_LOD2_4908354,success,success,True,standard,False,slanted,95.307693,0.095652,0.990165,7,True,True,[]
raw-ACMP,DEBY_LOD2_4959314,success,success,True,standard,False,slanted,70.817543,0.528336,44.405590,20,True,True,[]
raw-ACMP,DEBY_LOD2_4959320,success,success,True,standard,False,slanted,85.075340,0.725205,8.182486,44,True,True,[]
raw-ACMP,DEBY_LOD2_4959322,success,success,True,standard,False,slanted,472.944489,0.000000,3.820605,5,True,True,[]
raw-ACMP,DEBY_LOD2_4959323,success,success,True,standard,False,slanted,437.306854,0.000000,3.501643,12,True,True,[]
raw-ACMP,DEBY_LOD2_4959324,success,success,True,standard,False,slanted,364.386353,0.005650,1.498192,7,True,True,[]
raw-ACMP,DEBY_LOD2_4959325,success,success,True,standard,False,slanted,254.842422,0.000000,3.698175,55,True,True,[]
raw-ACMP,DEBY_LOD2_4959326,success,success,True,standard,False,slanted,206.446426,0.000000,1.960562,65,True,True,[]
raw-ACMP,DEBY_LOD2_4959327,success,success,True,standard,False,slanted,268.715729,0.000000,2.695695,9,True,True,[]
raw-ACMP,DEBY_LOD2_4959336,success,success,True,standard,False,slanted,115.948692,0.071839,0.971706,24,True,True,[]
raw-ACMP,DEBY_LOD2_4959340,success,success,True,standard,False,slanted,164.499023,0.000000,2.787446,4,True,True,[]
raw-ACMP,DEBY_LOD2_4959457,success,success,True,standard,False,slanted,321.622345,0.000729,3.834120,14,True,True,[]
raw-ACMP,DEBY_LOD2_4959458,success,success,True,standard,False,slanted,339.343048,0.000000,3.005153,3,True,True,[]
raw-ACMP,DEBY_LOD2_4959459,success,success,True,standard,False,slanted,357.831329,0.000000,3.037665,13,True,True,[]
raw-ACMP,DEBY_LOD2_4959460,failure,val3dity_invalid,True,standard,False,slanted,257.673676,0.000000,3.602712,73,True,False,"[{""code"":104,""description"":""RING_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4959460-0|geom=0|shell=0|face=131"",""info"":""ring self-intersects or is collapsed to a line""}]"
raw-ACMP,DEBY_LOD2_4959461,success,success,True,standard,False,slanted,240.743729,0.000000,3.326035,31,True,True,[]
raw-ACMP,DEBY_LOD2_4959463,success,success,True,standard,False,slanted,171.557373,0.000000,3.042076,3,True,True,[]
raw-ACMP,DEBY_LOD2_4959464,success,success,True,standard,False,slanted,147.281464,0.000000,2.976263,4,True,True,[]
raw-ACMP,DEBY_LOD2_4959465,success,success,True,standard,False,slanted,120.749115,0.003521,4.835613,11,True,True,[]
